wk_code,wk_naam,jaar,lbm,afw,fys,onv,soc,vrz,won
WK158602,Wijk 02 Harreveld,2014,4.148423498033661,0.04615864688997524,-0.020503878660992684,0.10803413411478775,0.11026610847649745,-0.21777544764192514,0.06613773060160766
WK158602,Wijk 02 Harreveld,2016,4.143352375805924,0.04108752466223882,NA,NA,NA,NA,NA
WK158602,Wijk 02 Harreveld,2018,4.137385162292141,0.035120311148455874,-0.010455466402354213,0.0947646308495189,0.10443195742231862,-0.2177236251952878,0.06410281447426
WK158602,Wijk 02 Harreveld,2020,4.140603142627518,0.03833829148383275,-0.010833185283548456,0.09848477604190944,0.09836502689294907,-0.21523925160517893,0.0675609254377013
WK158602,Wijk 02 Harreveld,2022,4.13776012852585,0.03549527738216463,-0.008841240479478022,0.09131443359448788,0.10043098232775917,-0.21515151620998554,0.06774261814938089
WK158603,Wijk 03 Zieuwewnt,2002,4.188637397763807,0.08637254662012131,NA,NA,NA,NA,NA
WK158603,Wijk 03 Zieuwewnt,2008,4.217988670652154,0.11572381950846893,NA,NA,NA,NA,NA
WK158603,Wijk 03 Zieuwewnt,2012,4.188024018595415,0.08575916745172993,NA,NA,NA,NA,NA
WK158603,Wijk 03 Zieuwewnt,2014,4.22893016289715,0.12666531175346538,-0.007450645169856957,0.14171237452968474,0.1101722642079633,-0.18719579335603387,0.06942711154170789
WK158603,Wijk 03 Zieuwewnt,2016,4.219416719457685,0.11715186831400028,NA,NA,NA,NA,NA
WK158603,Wijk 03 Zieuwewnt,2018,4.204384460962115,0.10211960981842967,0.0016515627536376396,0.12717021908345258,0.09910669569441334,-0.1965240831157693,0.07071521540269507
WK158603,Wijk 03 Zieuwewnt,2020,4.216615443424496,0.11435059228081133,-0.004691928580349801,0.1259697178537267,0.11709234991407289,-0.19612147187128046,0.07210192496464178
WK158603,Wijk 03 Zieuwewnt,2022,4.213652257608886,0.1113874064652007,-1.8769579482944793e-4,0.12390453739492092,0.1163690803584997,-0.1968216218609681,0.06812310636757736
WK158604,Wijk 04 Lievelde,2002,4.226246626398386,0.12398177525470067,NA,NA,NA,NA,NA
WK158604,Wijk 04 Lievelde,2008,4.230257169900741,0.12799231875705647,NA,NA,NA,NA,NA
WK158604,Wijk 04 Lievelde,2012,4.202364201569769,0.10009935042608335,NA,NA,NA,NA,NA
WK158604,Wijk 04 Lievelde,2014,4.215552660892211,0.11328780974852506,-0.018173128635287743,0.12738089907303835,0.10497756156948251,-0.16385310107829407,0.06295557881958573
WK158604,Wijk 04 Lievelde,2016,4.230760948533551,0.1284960973898661,NA,NA,NA,NA,NA
